"","clusters","time_point","PREV_OBS","PREV_EST"
"1",67,6,0.333333333,0.283274021352313
"2",68,6,0.231707317,0.108585001696641
"3",70,6,0.109756098,0.268687564588357
"4",71,6,0.031746032,0.0468805075784279
"5",85,6,0.170212766,0.229227405247813
"6",86,6,0.183486239,0.143245078071962
"7",87,6,0.066666667,0.0520538243626062
"8",88,6,0.107142857,0.147151345683327
"9",95,6,0.180327869,0.142418032786885
"10",100,6,0.056179775,0.215268225584594
"11",101,6,0.119047619,0.139803784162579
"12",102,6,0.306818182,0.376947040498442
"13",103,6,0.0125,0.0264643613267466
"14",4,6,0.253731343,0.342780026990553
"15",9,6,0.328767123,0.346551724137931
"16",22,6,0.197183099,0.201163188504961
"17",23,6,0.31884058,0.307145275990518
"18",24,6,0.219178082,0.160793705097503
"19",43,6,0.08988764,0.168272539573297
"20",69,6,0.460526316,0.616
"21",72,6,0.1,0.176614310645724
"22",73,6,0.041666667,0.0823814468674282
"23",74,6,0.298701299,0.384725196288365
"24",75,6,0.14084507,0.495320623916811
"25",76,6,0.224719101,0.448263888888889
"26",77,6,0.049180328,0.0680954026961632
"27",78,6,0.321428571,0.608769544527532
"28",79,6,0.405797101,0.3825
"29",80,6,0.19047619,0.293653516295026
"30",81,6,0.051948052,0.0987654320987654
"31",82,6,0.3,0.471894517696044
"32",83,6,0.4,0.426833507125478
"33",84,6,0.561643836,0.536620221507681
"34",89,6,0.010869565,0.0264675941635562
"35",90,6,0.02173913,0.000676818950930626
"36",91,6,0.291666667,0.435472739820566
"37",92,6,0.285714286,0.51174202593761
"38",93,6,0.270588235,0.450606585788561
"39",94,6,0.308823529,0.544325629527423
"40",96,6,0,0.000343170899107756
"41",97,6,0.082191781,0.179291174426685
"42",98,6,0.271604938,0.175228712174525
"43",99,6,0.052631579,0.0249648382559775
"44",104,6,0.392405063,0.569236259814418
"45",1,6,0.063492063,0.0644366197183099
"46",5,6,0.105263158,0.122377622377622
"47",6,6,0.025,0.0583362098722817
"48",7,6,0.033333333,0.0762237762237762
"49",8,6,0.081395349,0.12686308492201
"50",10,6,0.053333333,0.0754121360925991
"51",11,6,0.086956522,0.0535279805352798
"52",14,6,0.081081081,0.0626937650706166
"53",15,6,0.203389831,0.0929752066115702
"54",16,6,0.129032258,0.221110727837185
"55",17,6,0.164383562,0.206174957118353
"56",18,6,0,0.0282856157295619
"57",19,6,0,0.0199381230663458
"58",20,6,0.083333333,0.124313186813187
"59",21,6,0.046153846,0.0108391608391608
"60",30,6,0.123076923,0.170946183608864
"61",31,6,0.2,0.248975409836066
"62",32,6,0.038961039,0.132166151733608
"63",33,6,0,0.00240302094061105
"64",34,6,0.075,0.0802065404475043
"65",35,6,0.048387097,0.0131004366812227
"66",36,6,0.141176471,0.210233205708319
"67",37,6,0.071428571,0.090815627141878
"68",38,6,0.028985507,0.0841567291311755
"69",39,6,0,0.00140548137737175
"70",40,6,0.047619048,0.0126538987688098
"71",41,6,0.103448276,0.100737100737101
"72",42,6,0,0.00207540643375994
"73",44,6,0.24137931,0.299254526091587
"74",45,6,0.125,0.163718348942074
"75",46,6,0.097222222,0.061873487729001
"76",47,6,0.106060606,0.0925726587728741
"77",51,6,0.135802469,0.228928571428571
"78",52,6,0.164556962,0.266785079928952
"79",55,6,0.169014085,0.135383527748321
"80",56,6,0.051724138,0.0437521876093805
"81",57,6,0.011764706,0.000348796651552145
"82",58,6,0.011363636,0.00105932203389831
"83",59,6,0,0.00909090909090909
"84",60,6,0,0.00137835975189524
"85",61,6,0.014084507,0.000350631136044881
"86",62,6,0.013333333,0.000341296928327645
"87",63,6,0,0.00106194690265487
"88",64,6,0,0
"89",65,6,0,0.00590482806530045
"90",66,6,0,0.000340599455040872
"91",2,6,0.054794521,0.155035971223022
"92",3,6,0.08,0.259628610729023
"93",12,6,0.012987013,0.0555366269165247
"94",13,6,0.01369863,0.0231593501555479
"95",25,6,0.01754386,0.00526500526500526
"96",26,6,0.025,0.101848622253226
"97",27,6,0.016949153,0.0914760914760915
"98",28,6,0.03030303,0.0681818181818182
"99",29,6,0.01369863,0.0272884283246978
"100",48,6,0,0.024747298710352
"101",49,6,0,0.000348310693138279
"102",50,6,0.029411765,0.0195530726256983
"103",53,6,0.197368421,0.141977420458433
"104",54,6,0.277777778,0.223029045643154
"105",67,12,0.216494845,0.226220163876024
"106",68,12,0.064102564,0.0602327173169062
"107",70,12,0.056818182,0.231703087062088
"108",71,12,0.016666667,0.0305263157894737
"109",85,12,0.179775281,0.163287472845764
"110",86,12,0.172043011,0.0980258679373724
"111",87,12,0.012987013,0.0305343511450382
"112",88,12,0.041666667,0.0897125043297541
"113",95,12,0.026666667,0.0983606557377049
"114",100,12,0.166666667,0.151041666666667
"115",101,12,0.083333333,0.0925602514844569
