Orig_ID,Library_ref,R_ID,Int_Type,Intervention,LLIN_Gen,Mosquito_species,Species_clean,Hut,my_species,Insecticide,Insecticide_class,R_Site,Site_number,is.comb,Ins_type,control,is_treat,is_washed,No_washes,field_age,Nights_collect,Nights_known,Totals_known,N_total,N_fed,N_exited,N_24h_mort,N_72h_mort,N_dead_comb,N_Control,pc_Deterred,pc_dead,pc_dead_chlor,pc_fed,pc_dead_comb,pc_veranda,year,Data_public,Data_visible,plot_code,Note
3,3,1,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Malanville_Benin,15,1,1,1,0,0,0,0,36,0,1,911,141,286,15,,15,NA,0,1.646542261,,15.47749726,1.646542261,31.39407245,,1,1,0,
3,3,1,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,0,0,0,36,0,1,676,37,398,304,,304,911,25.79582876,44.9704142,,5.473372781,44.9704142,58.87573964,,1,1,0,
3,3,1,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,30,0,36,0,1,563,45,309,171,,171,911,38.19978046,30.37300178,,7.992895204,30.37300178,54.88454707,,1,1,0,
3,3,1,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Malanville_Benin,15,1,3,0,1,1,40,0,36,0,1,679,54,402,246,,246,911,25.46652031,36.22974963,,7.95287187,36.22974963,59.20471281,,1,1,0,
3,3,1,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Malanville_Benin,15,1,4,0,1,1,30,0,36,0,1,581,63,283,171,,171,911,36.22392975,29.43201377,,10.84337349,29.43201377,48.7091222,,1,1,0,
3,3,1,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Malanville_Benin,15,1,4,0,1,1,40,0,36,0,1,484,56,260,130,,130,911,46.8715697,26.85950413,,11.57024793,26.85950413,53.71900826,,1,1,0,
4,3,2,Untreated net,Untreated,NA,An. gambiae s.s.,An. gambiae s.l.,West,3,untreated,untreated,Akron_Benin,1,1,1,1,0,0,0,0,48,0,1,144,38,69,23,,23,NA,0,15.97222222,,26.38888889,15.97222222,47.91666667,,1,1,0,
4,3,2,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Akron_Benin,1,1,3,0,1,0,0,0,48,0,1,63,10,45,28,,28,144,56.25,44.44444444,,15.87301587,44.44444444,71.42857143,,1,1,0,
4,3,2,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Akron_Benin,1,1,3,0,1,1,30,0,48,0,1,69,12,56,33,,33,144,52.08333333,47.82608696,,17.39130435,47.82608696,81.15942029,,1,1,0,
4,3,2,LLIN,LifeNet,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Akron_Benin,1,1,3,0,1,1,40,0,48,0,1,55,5,40,26,,26,144,61.80555556,47.27272727,,9.090909091,47.27272727,72.72727273,,1,1,0,
4,3,2,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Akron_Benin,1,1,4,0,1,1,30,0,48,0,1,37,11,22,8,,8,144,74.30555556,21.62162162,,29.72972973,21.62162162,59.45945946,,1,1,0,
4,3,2,LLIN,Olyset Net,1,An. gambiae s.s.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Akron_Benin,1,1,4,0,1,1,40,0,48,0,1,40,8,26,14,,14,144,72.22222222,35,,20,35,65,,1,1,0,
4,3,2,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Akron_Benin,1,1,3,0,1,1,30,0,48,0,1,79,26,45,29,,29,144,45.13888889,36.70886076,,32.91139241,36.70886076,56.96202532,,1,1,0,
4,3,2,LLIN,PermaNet 2.0,1,An. gambiae s.s.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Akron_Benin,1,1,3,0,1,1,40,0,48,0,1,103,40,47,19,,19,144,28.47222222,18.44660194,,38.83495146,18.44660194,45.63106796,,1,1,0,
7,7,3,Untreated net,Untreated,NA,An. gambiae s.l.,An. gambiae s.l.,West,3,untreated,untreated,Cove_Benin,3,1,1,1,0,0,0,0,36,1,1,243,54,121,,,,NA,0,0,,22.22222222,0,49.79423868,,1,1,0,
7,7,3,LLIN,PermaNet 2.0,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Cove_Benin,3,1,3,0,1,0,0,0,36,1,1,249,36,155,27,,27,243,-2.469135802,10.84337349,,14.45783133,10.84337349,62.24899598,,1,1,0,
7,7,3,LLIN,LifeNet,1,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin,pyrethroid,Cove_Benin,3,1,3,0,1,0,0,0,36,1,1,362,88,206,13,,13,243,-48.97119342,3.591160221,,24.30939227,3.591160221,56.90607735,,1,1,0,
7,7,3,LLIN,Olyset Net,1,An. gambiae s.l.,An. gambiae s.l.,West,3,permethrin,pyrethroid,Cove_Benin,3,1,4,0,1,0,0,0,36,1,1,371,67,253,25,,25,243,-52.67489712,6.738544474,,18.05929919,6.738544474,68.19407008,,1,1,0,
7,7,3,LLIN,PermaNet 3.0,2,An. gambiae s.l.,An. gambiae s.l.,West,3,deltamethrin + PBO,pyrethroid + PBO,Cove_Benin,3,2,10,0,1,0,0,0,36,1,1,224,24,200,55,,55,243,7.818930041,24.55357143,,18.05929919,24.55357143,89.28571429,,1,1,0,
